row_id,xcoord,ycoord
421,45.27076,32.19562
422,45.29884,32.19058
423,45.32154,32.17837
424,45.33334,32.16299
425,45.33953,32.15156
426,45.36394,32.1424
427,45.38689,32.12271
428,45.40577,32.09772
429,45.41179,32.07868
430,45.41529,32.05809
431,45.42823,32.02945
432,45.44728,31.99901
433,45.46534,31.97427
434,45.48292,31.95653
435,45.51645,31.93037
436,45.52898,31.91494
437,45.52931,31.89549
438,45.51564,31.87352
439,45.49903,31.8522
440,45.49187,31.83438
441,45.49773,31.81977
442,45.52898,31.79413
443,45.55177,31.76862
444,45.60011,31.73037
445,45.60743,31.71825
446,45.60792,31.7062
447,45.62289,31.66421
448,45.62867,31.64086
449,45.62924,31.62328
450,45.62094,31.60529
451,45.62013,31.58999
452,45.62631,31.57014
453,45.63917,31.55077
454,45.66944,31.52953
455,39.07936,60.40058
456,39.0726,60.38337
457,39.07643,60.35733
458,39.06983,60.34081
459,39.05633,60.32901
460,39.0407,60.32591
461,39.02052,60.32616
462,38.9961,60.32225
463,38.97706,60.31509
464,38.97006,60.30736
465,38.98178,60.30146
466,39.00782,60.29841
467,39.03354,60.28417
468,39.04493,60.25121
469,39.05372,60.20746
470,39.0735,60.16698
471,39.10401,60.13223
472,39.1701,60.07486
473,39.20932,60.02375
474,39.23992,60.00365
475,39.24903,59.99095
476,39.25229,59.97354
477,39.25221,59.95384
478,39.25514,59.93407
479,39.27442,59.90038
480,39.27003,59.86766
481,39.28077,59.84471
482,39.30201,59.82005
483,39.32569,59.79804
484,39.33033,59.7923
485,39.33953,59.77774
486,37.47804,61.40404
487,37.48121,61.39667
488,37.49,61.3902
489,37.52955,61.37702
490,37.57862,61.35057
491,37.6364,61.33076
492,37.67262,61.30817
493,37.69581,61.28107
494,37.69581,61.25829
495,37.68605,61.23208
496,37.68238,61.16462
497,37.66725,61.1481
498,37.65113,61.14081
499,37.63844,61.12043
500,37.59164,61.09292
501,37.57765,61.07388
502,37.57993,61.05508
503,37.59457,61.04047
504,37.61524,61.02432
505,37.65219,60.97923
506,37.67994,60.96308
