Country,Latitude,Longitude,SiteID,SiteName,Slope,Profile cu,ele30m,Tangential,Aspect
Great Britain,51.99320,-5.01691,S6258,Carne Coch,5.48850,0.00027,77.00000,0.00140,332.41953
Great Britain,52.58530,-3.49241,S6259,Carneddau,3.55869,0.00000,410.00000,-0.00000,328.65479
Great Britain,52.01860,-4.82763,S6260,Carreg Coetan,3.99181,0.00047,13.00000,0.00121,48.88738
Great Britain,52.29060,-0.94132,S6261,Castle Brampton,1.51113,0.00278,116.00000,0.00000,360.00000
Great Britain,52.65980,-2.38444,S6262,Castle Farm,2.94068,-0.00070,83.00000,-0.00058,39.03285
Great Britain,57.61210,-1.85269,S6263,Castle Hill,3.91042,-0.00046,11.00000,-0.00162,208.22169
Great Britain,53.55460,-0.50842,S6264,Castlethorpe,1.18972,-0.00260,4.00000,-0.00177,348.77332
Great Britain,50.54530,-5.00444,S6265,Cataclews,9.02137,0.00375,16.00000,0.00153,1.46003
Great Britain,50.63090,-4.62751,S6266,Cataclews Barrow,3.91904,0.00068,285.00000,-0.00266,242.34187
Great Britain,52.95660,-3.49771,S6267,Cefn Caer Euni,2.92222,0.00038,340.00000,0.00211,336.66699
Great Britain,53.25180,-3.91727,S6268,Cefn Coch,4.79565,0.00031,414.00000,-0.00151,66.30896
Great Britain,51.71700,-4.01527,S6269,Cefn Drum,6.46100,-0.00103,112.00000,-0.00000,270.00000
Great Britain,51.70970,-3.54592,S6270,Cefn Glas,3.64412,0.00023,475.00000,-0.00065,315.68857
Great Britain,51.56250,-2.79930,S6271,Chapeltump,2.37537,-0.00291,0.00000,0.00082,308.73685
Great Britain,51.28600,-2.72996,S6272,Charterhouse Warren,1.60331,-0.00193,240.00000,-0.00116,46.26425
Great Britain,55.52760,-1.84157,S6273,Chatton Sandyford,2.81401,0.00025,216.00000,0.00079,29.56336
Great Britain,58.42180,-4.18492,S6274,Chealamy,0.82269,-0.00089,29.00000,0.00065,237.56946
Great Britain,51.18060,-2.87709,S6275,Chilton,1.30630,-0.00145,1.00000,-0.00163,327.84946
Great Britain,50.73580,-1.77750,S6276,Christchurch,2.16176,0.00291,6.00000,0.00012,32.39941
Great Britain,50.86290,-0.41972,S6277,Church Hill,9.19103,0.00201,136.00000,0.00000,270.00000
Great Britain,50.70820,-2.43909,S6278,Church Street,3.02384,0.00133,76.00000,0.00137,32.41469
Great Britain,50.16400,-5.54022,S6279,Chysauster,3.62554,0.00037,195.00000,0.00112,153.45247
Great Britain,50.85890,-0.38433,S6280,Cissbury,3.98066,-0.00145,166.00000,0.00197,248.44647
Great Britain,51.79650,-1.37640,S6281,City Farm,2.19762,0.00150,69.00000,0.00164,31.80109
Great Britain,57.16710,-7.40273,S6282,Cladh Hallan,1.23338,-0.00038,5.00000,0.00010,249.78903
Great Britain,56.57910,-5.75028,S6283,Claggan,0.81144,-0.00090,9.00000,0.00061,301.13046
Great Britain,54.19810,-4.39169,S6284,Clayhead Cairns,8.92161,-0.00129,61.00000,-0.00205,22.72445
Great Britain,53.56740,-0.03071,S6285,Cleethorpes,0.00000,0.00000,0.00000,0.00000,0.00000
Great Britain,51.15290,1.38514,S6286,Cliffe,9.80886,0.00159,68.00000,0.00243,294.15512
