Country,Latitude,Longitude,SiteID,Elevation,SiteName,min_lakes_distance,min_rivers_distance,min_borders_distance
Great Britain,52.23,-0.92,S4333,0,Briar Hill,4.964331684,0.176300455,1.138561987
Great Britain,52.394,-2.762,S4334,127,Bromfield,3.775650547,0.323312551,0.708745289
Great Britain,51.17,-1.81,S4344,79,Coneybury 'Anomaly',3.758741048,0.425993664,0.425993664
Great Britain,50.913,-2.222,S4380,33,Hambledon Hill,3.482867329,0.248990691,0.248990691
Great Britain,51.1831,-1.81,S4392,109,W59 King Barrow Ridge,3.771774916,0.433866823,0.433866823
Great Britain,53.26,-1.94,S4412,23,Lismore Fields,3.814980889,0.765304549,0.765304549
Great Britain,52.865,-4.047,S4428,123,Moel y Gerddi,2.431050414,0.056796426,0.056796426
Great Britain,51.21,-1.86,S4451,143,Robin Hood's Ball,3.793893023,0.48295387,0.48295387
Great Britain,50.7,-2.544,S4455,0,Rowden,3.289038429,0.120376072,0.120376072
Ireland,52.404,-8.611,S4472,37,Tankardstown,0.443300049,0.303293769,0.303293769
Great Britain,51.733,0.739639,S4483,0,The Stumble,4.276354248,0.019368337,0.019368337
Great Britain,51.441,-1.876,S4501,41,Windmill Hill - external features,4.022806377,0.59814378,0.59814378
Great Britain,52.468,1.4514,S4522,5,Ditchingham Broome Heath,3.518066943,0.26582023,0.26582023
Great Britain,52.929,0.496719,S4536,28,"Redgate Hill, Hunstanton",4.506091212,0.01191171,0.01191171
Great Britain,57.8083,-7.0939,S4537,0,Northon,1.540159445,0.008586577,0.008586577
Ireland,52.2513,-9.6539,S4634,104,Ballycarty,0.185825499,0.083815877,0.083815877
Great Britain,54.0948,-0.285883,S4667,0,Caythorpe,4.484288952,0.083766705,0.083766705
Great Britain,51.1735,-1.8097,S4678,78,Coneybury henge,3.762253477,0.427831362,0.427831362
Great Britain,51.1932,-1.78673,S4707,75,Durrington Walls,3.78422009,0.422191305,0.422191305
Great Britain,52.6534,-0.323585,S4730,0,Etton,5.299243918,0.351908314,0.407147943
Great Britain,52.6481,-0.313222,S4731,0,Etton - A151 bypass site,5.288615346,0.342826373,0.401815995
Great Britain,52.6493,-0.319622,S4732,0,Etton Landscape Site 1,5.295069496,0.346529427,0.406284383
Great Britain,52.6493,-0.319622,S4733,0,Etton Landscape Site 2,5.295069496,0.346529427,0.406284383
Great Britain,52.6493,-0.319622,S4734,0,Etton Landscape Site 4,5.295069496,0.346529427,0.406284383
Great Britain,52.6493,-0.319622,S4735,0,Etton Landscape Site 6,5.295069496,0.346529427,0.406284383
Great Britain,52.6493,-0.319622,S4736,0,Etton Landscape Site 7,5.295069496,0.346529427,0.406284383
Great Britain,50.932,-1.9992,S4740,106,Fir tree field,3.506778505,0.196134384,0.196134384
Great Britain,52.3441,0.068639,S4777,3,Haddenham Causewayed enclosure,4.899564955,0.040917785,0.485476791
Great Britain,52.3714,0.083108,S4778,2,Haddenham Long Barrow,4.885022015,0.051382792,0.454785048
Great Britain,55.8747,-6.33256,S4819,0,Killelan farm,1.000104055,0.008724976,0.008724976
Great Britain,59.326,-3.00571,S4856,0,Links of Noltland,1.901586669,0.008417488,0.008417488
Great Britain,50.7089,-2.41207,S4882,10,Mount Pleasant,3.286257459,0.064789357,0.064789357
