Country,Latitude,Longitude,SiteID,SiteName,slope,Profile cu,ele30m,tangential,aspect,lake,river
Great Britain,50.932,-1.9992,S4740,Fir tree field,1.57179,0.00161,67,0.00084,62.18906,1.901582263,2.706950112
Great Britain,52.3441,0.06864,S4777,Haddenham Causewayed enclosure,0.92675,0.00105,3,0,90,3.286253502,0.94275869
Great Britain,52.3714,0.08311,S4778,Haddenham Long Barrow,1.21863,0.00086,2,0.00106,71.90481,1.913215405,2.709270775
Great Britain,55.8747,-6.33256,S4819,Killelan farm,5.74734,0.00326,14,0,360,2.105547092,2.72212875
Great Britain,59.326,-3.00571,S4856,Links of Noltland,3.49674,-0.00005,14,-0.00079,97.43233,3.999156362,0.832664491
Great Britain,50.7089,-2.41207,S4882,Mount Pleasant,4.68562,0.00235,74,0.00171,57.0375,1.53414169,2.334917629
Great Britain,59.3233,-2.9878,S4917,Pierowall quarry,3.31213,-0.00046,14,-0.00249,303.11252,2.357935849,2.901185662
Great Britain,59.2236,-2.67017,S4930,Pool,2.58482,-0.00193,5,-0.00203,134.28757,3.992522328,0.840709245
Great Britain,51.4158,-1.85759,S4991,Silbury Hill,8.7026,0.0044,166,0.00006,112.35403,3.997087903,0.847483767
Great Britain,58.994,-3.20775,S5007,Stones of Stenness,1.79347,0.00392,4,0,180,3.512255755,0.956964591
Great Britain,59.309,-2.42508,S5034,Tofts Ness,0.8288,-0.00088,6,0.00067,123.10134,0.685860159,0.543942541
Great Britain,51.4086,-1.85111,S5063,West Kennet Long Barrow,1.4819,-0.00267,176,0.00209,360,1.50653577,0.263526129
Great Britain,51.4125,-1.84314,S5064,West Kennett Palisade,4.32917,0.002,149,0.00069,306.7323,0.182679765,0.158684785
Great Britain,50.9371,-1.99209,S5067,Wyke down henge 2,2.77458,0.00077,70,0.00228,246.65369,0.684896264,0.537386941
Ireland,55.036,-7.27964,S5085,Thornhill,4.1779,0.00083,33,-0.00013,330.12997,0.849631871,0.077275478
Ireland,54.6701,-6.15631,S5087,Ballyharry,0.80152,0.00092,89,-0.00056,240.09584,0.213359618,1.725478946
Ireland,54.6519,-8.0821,S5088,Drummeny Lower,13.22554,0.00182,45,0.00148,137.86868,4.413756127,0.503359996
Ireland,55.0253,-7.2698,S5089,Enagh Townland,5.60517,-0.0009,17,0.00057,300.1236,4.125773604,0.546768544
Ireland,54.0035,-6.76032,S5090,Coolfore,5.75819,-0.00213,108,-0.00293,254.20294,3.824640223,0.914329126
Ireland,52.2576,-9.70116,S5091,Cloghers,3.0981,-0.0002,17,0.00038,31.53579,4.045567715,0.635290821
Great Britain,51.8433,-2.10593,S6139,Crickley Hill,3.98519,0.00071,261,-0.0003,228.99883,3.608308958,1.097837736
Great Britain,51.4033,-1.07551,S6157,Abbots Farm,2.87557,-0.00041,96,0.00328,255.07932,4.113515148,0.550358584
Great Britain,51.2277,-1.73216,S6158,Ablington,3.48233,0,121,0,327.87604,4.087543379,1.43229586
Great Britain,51.4203,-1.51961,S6159,Aldbourne,1.748,0.00163,98,0,327.9848,3.285454738,0.941567695
Great Britain,53.2931,-2.21605,S6160,Alderley Edge,6.98645,0.00188,179,0.00071,172.41585,0.509571463,0.079782621
Great Britain,51.4055,-1.13011,S6161,Aldermaston,1.31088,-0.00147,53,-0.00163,32.02351,3.745875806,0.217316683
Great Britain,50.8126,0.14361,S6162,Alfriston,16.94036,0.00169,103,0.00074,19.39094,3.803710581,0.468035834
Great Britain,50.7074,-2.42207,S6163,Alington Avenue,2.7791,0.00104,68,0,270,2.133402306,1.34197586
Great Britain,56.4168,-3.53357,S6164,Almond Bank,5.00868,0.00508,64,0.00273,284.4523,3.750780329,0.20919496
Great Britain,52.2961,-2.8139,S6165,Ambrey,4.45333,-0.00324,280,-0.00201,338.68582,5.160832982,0.483507033
Great Britain,51.1792,-2.83128,S6166,Amesbury,1.74147,0.0016,2,0,327.84869,3.738387107,0.233691899
Great Britain,53.389,-4.34157,S6167,Amlwch,5.90619,0.00528,142,0.00087,11.26969,4.594179798,0.226121907
Great Britain,54.2123,-1.11054,S6168,Ampleforth Moor,1.22356,0.00045,233,-0.00009,288.84067,4.606232309,0.947021783
Great Britain,53.2488,0.33,S6169,Anderby Creek,0.4504,-0.00349,3,-0.00167,149.04532,0.333932539,1.229102881
Great Britain,54.2383,-1.10538,S6170,Antofts Windypit,12.7794,-0.0001,114,0.00011,93.48905,0.999525952,0.809744284
Great Britain,53.5979,-0.52503,S6171,Appleby,0.92656,0.00105,3,0,270,3.788029625,0.478564035
Great Britain,51.9095,0.98364,S6172,Ardleigh,7.50713,-0.00156,32,-0.00091,187.05154,1.048801205,0.331470502
Great Britain,56.5695,-6.00182,S6173,Ardnacross,11.2202,0.0013,65,0.00231,314.51877,4.316714557,0.54300912
Great Britain,55.8872,-6.33614,S6174,Ardnave,3.68189,0.00088,12,0.00315,109.58879,4.497321249,0.916029997
Great Britain,51.1648,-2.82245,S6175,Ashcott Heath,1.39026,-0.00209,2,0,90,4.837859876,0.160827062
Great Britain,56.1874,-3.04418,S6176,Ashgrove Farm,0.46311,-0.00105,35,0,90,0.236194497,0.74215519
Great Britain,53.2791,-1.22754,S6177,Ash Tree Cave,4.39817,0.0015,119,-0.0003,344.76044,3.998974394,0.832916595
Great Britain,52.8574,-1.37318,S6178,Aston,1.53074,0.00285,36,0,360,4.704916692,0.872153171
Great Britain,52.0086,-0.6245,S6179,Aston Mill,5.88081,-0.00045,113,0.0053,281.00403,0.931491297,0.222211827
Great Britain,56.01,-5.20533,S6180,Auchategan,8.65499,-0.00299,149,-0.00126,198.57933,3.831389818,0.823133813
Great Britain,51.4156,-1.85738,S6181,Avebury,2.89269,0.00175,168,0.00452,219.81921,1.650407247,1.458354096
Great Britain,51.4857,0.22401,S6182,Aveley Marshes,4.85519,-0.00518,0,0,252.23764,1.855185876,1.665460573
Great Britain,56.216,-3.15945,S6183,Balbirnie,2.48735,-0.0015,101,-0.00186,48.098,0.85021699,0.957496425
Great Britain,51.199,-1.49758,S6184,Balksbury,2.78208,0.0007,74,-0.00009,311.48483,0.642702058,0.845475351
Great Britain,54.3709,-4.47411,S6185,Ballachrink Farm,0.92644,-0.00105,10,0,270,1.370802552,0.731742553
Great Britain,54.1625,-4.55051,S6186,Ballaquinney Beg,5.84131,-0.00173,85,-0.0006,42.20605,3.376972313,1.02030101
Great Britain,55.3972,-5.66905,S6187,Balloch Hill,8.43321,0.00106,133,0.00173,281.04712,4.425831207,0.917539164
Great Britain,57.566,-3.98958,S6188,Balnagowan,2.85344,-0.00091,17,-0.00296,296.909,5.343053326,0.395627897
Great Britain,56.6376,-2.64404,S6189,Balneaves,1.43896,0.002,42,0.00174,28.85718,4.593527245,0.600834275
Great Britain,50.8044,-2.0485,S6190,Barford Farm,2.38096,-0.00063,30,0.00046,202.9015,5.311469544,0.415335708
Great Britain,52.1154,1.12596,S6191,Barham,3.35634,0.00006,50,-0.0007,218.36269,0.881245252,0.322230922
Great Britain,52.678,-0.3713,S6192,Barholm,0,0,12,0,0,1.270964087,1.293230202
Great Britain,54.0099,-0.21135,S6193,Barmston,0,0,0,0,0,3.986780329,0.68887765
Great Britain,52.6493,-0.44924,S6194,Barnack,2.67479,0.00039,22,0.00025,355.0343,4.286155734,0.657728613
Great Britain,56.0437,-3.32,S6195,Barns Farm,3.63496,-0.00076,46,-0.00361,297.04181,5.018097326,0.081809009
Great Britain,54.7464,-4.57467,S6196,Barsalloch,7.73075,-0.00224,11,-0.00013,192.03137,3.987635822,0.790116955
Great Britain,51.2615,-1.08497,S6197,Basingstoke,0.92692,-0.00105,96,0,90,4.045789684,1.390337716
Great Britain,51.7109,-1.96961,S6198,Bath Gate,5.16191,0.0007,120,-0.00008,49.56255,4.4472322,0.801985376
Great Britain,52.7499,0.46423,S6199,Bawsey,3.16897,0.00185,25,0.00283,298.78177,3.457624439,0.966975453
Great Britain,51.4078,-1.90366,S6200,Beckhampton Road,1.18664,0.00008,165,-0.00027,128.64149,4.331016976,1.168630813
Great Britain,50.8251,0.0462,S6201,Beddingham,12.94802,0.00322,68,-0.0017,180,4.164200387,0.537538946
Great Britain,51.3849,-0.1359,S6202,Beddington,2.37182,-0.00257,34,-0.00095,128.62755,0.211756404,0.618551537
Great Britain,53.1277,-2.69053,S6203,Beeston Castle,10.39934,-0.00115,121,-0.00048,320.28607,2.296625106,1.782341806
Great Britain,51.2362,1.14048,S6204,Bekesbourne,2.82979,0.00308,76,0.00141,204.15167,3.90743171,0.327051591
Great Britain,51.5408,-1.52123,S6205,Bellbarrow,3.5641,-0.00062,189,0.00122,114.61655,5.22452149,0.572076507
Great Britain,56.473,-5.37587,S6206,Benderloch,2.38944,-0.00149,19,-0.00013,151.03699,3.284143301,1.382313644
Great Britain,57.6041,-1.95482,S6207,Berrybrae,3.6631,0.00068,44,0.00218,325.38754,4.39740003,0.511756314
Great Britain,51.2985,-2.7402,S6208,Gorsey Bigbury,2.87519,0.00006,245,-0.00253,104.88796,1.290087916,0.377152085
Great Britain,52.8859,-0.32635,S6209,Billingborough,1.2022,0.00003,6,-0.00028,230.42284,2.057637306,0.86638314
Great Britain,50.5804,-1.25915,S6210,Binnel Point,6.50245,-0.00067,15,0.00084,276.40076,1.944833023,0.990985257
Great Britain,51.8268,-2.09868,S6211,Birdlip bypass,1.61239,-0.00197,281,-0.00117,134.07773,4.032059541,1.437369441
Great Britain,55.1084,-3.66023,S6212,Birkhall,2.89182,-0.00056,30,0.00092,73.78974,0.18714871,0.620439769
Great Britain,54.5927,-3.08811,S6213,Birkswood,1.84433,0.00205,152,0,329.85654,3.847797352,1.218143542
Great Britain,54.4524,-3.43456,S6214,Birrel Sike,1.83963,0.00256,228,0.00156,149.77058,0.955232703,0.243482796
Great Britain,50.7867,0.08141,S6215,Bishopstone,5.46446,-0.00001,34,0.00156,302.25204,4.812994233,0.960887902
Great Britain,56.4426,-5.36992,S6216,Black Crofts,3.46588,-0.00007,73,-0.00097,15.48036,0.380514441,0.578026233
Great Britain,50.8687,-0.44512,S6217,Blackpatch,6.93223,-0.00264,112,-0.00243,285.24106,3.812734649,0.443549318
Great Britain,55.6458,-3.6654,S6218,Blackshouse Burn,2.89467,-0.00055,291,0.00095,286.42105,2.862458109,0.672502416
Great Britain,51.7463,0.80973,S6219,Blackwater Site,0,0,15,0,0,0.993260067,0.755251311
