,country,latitude,longitude,siteid,sitename,slope,profile,tangential,aspect,elevation,lakes_distance,rivers_distance,borders_distance
162,Great Britain,51.5398,-2.9113599999999997,S2278,Human footprint series,0.7432,-0.0009,0.0017399999999999998,180.0,103,3.897695764,0.032107983,0.032107983
163,Great Britain,53.8614,-2.0623,S2285,Ickornshaw Moor,4.78184,0.0028899999999999998,0.00112,168.85318,8,3.30472907,0.522117297,0.779651738
164,Great Britain,56.541000000000004,-3.424,S2294,Inchtuthil,1.27827,-0.00292,0.00023999999999999998,349.56555,0,0.591694562,0.007279485,0.201892988
165,Great Britain,51.3225,-3.0118,S2299,Intertidal peat,7.812869999999999,0.00733,0.00404,235.62845,93,3.9032685689999997,0.009974633,0.009974633
166,Great Britain,55.9997,-3.6822,S2300,Inveravon,3.8892,-0.00301,0.0035600000000000002,162.70764,18,0.6722393040000001,0.01908743,0.01908743
167,Great Britain,55.9304,-3.0405,S2301,Inveresk,1.25876,-0.00283,0.00023999999999999998,349.40088,0,1.174114789,0.03192886,0.03192886
168,Great Britain,50.9906,-0.7888,S2303,Iping Common,3.7365800000000005,0.00295,0.0021100000000000003,218.27029,0,3.825324166,0.195442327,0.195442327
169,Ireland,53.6344,-7.259589999999999,S2305,Newlands Cross,10.31886,-0.00119,-0.00045,92.14126999999999,26,0.55735452,0.423888208,0.924813615
170,Great Britain,50.8251,0.0462,S2313,Itford Bottom,12.94802,0.00322,-0.0017,180.0,68,4.045791258,0.045668861,0.045668861
171,Ireland,52.5,-7.1667,S2332,Jerpoint West,1.77856,-0.00176,0.0,31.395,0,0.883900362,0.225691148,0.270366973
172,Great Britain,50.4664,-3.5008,S2372,Kent's Cavern,12.38899,-0.00125,0.00265,36.108909999999995,0,3.3078262730000003,0.011958595,0.011958595
173,Great Britain,51.4861,-0.2859,S2386,Kew Bridge,0.0,0.0,0.0,0.0,0,4.47519106,0.655020855,0.655020855
174,Great Britain,54.4789,-1.06,S2390,Kildale,2.56425,-5.9999999999999995e-05,0.00075,140.81116,0,3.62895751,0.136530961,0.136530961
175,Great Britain,56.0985,-6.1829,S2391,Kildran Burn,0.80879,-0.00091,0.00059,120.81065,277,0.802698908,0.004120218,0.004120218
176,Ireland,52.1027,-7.7373,S2392,Kilgreany Cave,1.89494,-0.0021899999999999997,-0.00203,352.9787,0,0.970844358,0.108811243,0.108811243
177,Great Britain,54.05,-0.3833,S2393,Kilham,1.22309,-0.00045999999999999996,9e-05,251.22812000000002,0,4.429141233,0.16607751699999998,0.16607751699999998
178,Great Britain,54.3152,-4.38,S2394,"Killeaba, IOM",5.5974699999999995,-0.00227,0.00021,81.88815,54,1.7149051169999998,0.018610903,0.018610903
179,Great Britain,55.4883,-5.3117,S2395,Kilpatrick,2.8237900000000002,-0.00084,0.00232,115.65607,158,0.714728038,0.027085531,0.027085531
180,Great Britain,52.4214,0.768,S2396,Kilverstone,0.4442,-0.00183,-0.00114,148.55931,22,4.20043214,0.453429944,0.517150231
181,Great Britain,51.8365,-2.6593,S2397,King Arthur's Cave,10.37316,0.00321,-0.00085,276.14218,148,4.022242100000001,0.018542688999999998,0.173152257
182,Great Britain,57.016000000000005,-6.28001,S2398,Kinloch Farm,3.25252,0.0017100000000000001,0.0028399999999999996,238.57207999999997,216,0.604540622,0.010239531,0.010239531
183,Great Britain,57.0162,-6.2789,S2399,Kinloch,4.37881,-0.00042,-0.00062,320.70877,230,0.60361104,0.009112063,0.009112063
184,Great Britain,51.3255,-0.61788,S2415,Knap Hill,3.2410200000000002,-0.00035,-0.0008900000000000001,90.0,0,4.199692875,0.525711072,0.525711072
185,Great Britain,59.3493,-2.91085,S2416,Knap of Howar,5.42204,-0.00395,0.0,180.0,0,1.9884578130000001,0.03551088,0.03551088
186,Ireland,54.2752,-6.1852,S2417,Knockiveagh,2.41811,0.0007099999999999999,0.00033999999999999997,191.03848,0,0.271830839,0.178843647,0.178843647
187,Ireland,53.7051,-6.4917,S2419,Knowth,1.8153,-0.00247,-0.00155,329.31766,0,0.508192646,0.225689869,0.225689869
