"BoneID","Measurement",PrimaryKey,Value
"B4061","Bd",15690,26.5
"B4062","Bd",15695,23.1
"B4062","Bp",15696,19
"B4062","SD",15698,8.3
"B4063","Bp",15703,17.7
"B4063","SD",15705,9.5
"B4064","Bp",15711,20.1
"B4064","SD",15713,8.6
"B4065","Bd",15719,21.9
"B4066","LA",15725,27.4
"B4067","Bd",15727,29
"B4067","BFp",15728,28
"B4067","Bp",15729,32.5
"B4067","GL",15730,163.2
"B4067","SD",15731,15.3
"B4068","Bd",15734,27
"B4069","Bd",15739,27.8
"B4070","SLC",15744,21
"B4071","SLC",15749,22.8
"B4072","SLC",15754,26.6
"B4073","BPC",15759,22.7
"B4074","Bd",15764,47.5
"B4074","GLl",15765,72
"B4074","GLm",15766,66.5
"B4074","Dl",15767,41
"B4074","Dm",15768,42.5
"B4075","Bd",15773,47
"B4075","GLm",15774,68
"B4076","Bd",15782,41.5
"B4076","GLl",15783,67.5
"B4076","GLm",15784,63
"B4077","Bd",15791,51.5
"B4077","GLl",15792,76
"B4077","GLm",15793,71
"B4077","Dl",15794,42.5
"B4077","Dm",15795,45.5
"B4078","Bd",15800,47
"B4078","GLl",15801,74
"B4079","Bd",15809,45
"B4079","GLl",15810,71
"B4079","GLm",15811,64
"B4080","Bd",15818,44
"B4080","GLl",15819,68
"B4080","GLm",15820,64.5
"B4080","Dl",15821,39.5
"B4081","GB",15827,55.5
"B4081","GL",15828,147
"B4082","GB",15829,47.5
"B4082","GL",15830,139
"B4083","GL",15831,136
"B4084","GB",15833,45.5
"B4084","GL",15834,131.5
"B4085","DC",15835,52
"B4086","DC",15840,49.5
"B4087","DC",15845,51
"B4088","DC",15850,52
"B4089","Bd",15855,98.5
"B4089","BT",15856,88.5
"B4090","Bd",15861,90
"B4090","BT",15862,81.5
"B4091","Bd",15867,93.5
"B4091","BT",15868,80.5
"B4092","Bd",15873,89
"B4092","BT",15874,78.5
"B4093","Bd",15879,89.5
"B4093","BT",15880,76.5
"B4094","BT",15885,85.5
"B4095","BM3",15891,15.5
"B4095","LM3",15892,41.5
"B4096","BM3",15914,14
"B4096","LM3",15915,40.5
"B4097","BM3",15937,17
"B4097","LM3",15938,40.5
"B4098","BM3",15960,14.5
"B4099","Bp",15983,63.5
"B4100","Bp",15988,60
"B4101","Bd",15993,63
"B4102","Bd",15999,62
"B4103","Bd",16005,61.5
"B4104","Bd",16011,62.5
"B4105","Bd",16017,66
"B4106","Bp",16023,67.5
"B4107","Bd",16028,68
"B4108","Bd",16034,65
"B4109","Bp",16040,55.5
"B4110","Bd",16046,65.5
"B4111","Bp",16052,48.5
"B4112","Bp",16058,52
"B4113","Bp",16064,51
"B4114","Bd",16070,58.5
"B4115","Bd",16076,60.5
"B4116","Bd",16082,60
"B4117","Bp",16088,52.5
"B4118","GB",16094,56
"B4119","LA",16095,75.5
"B4120","LA",16097,74.5
"B4121","LA",16099,71.5
"B4122","LA",16101,76.5
"B4123","LA",16103,84
"B4124","LA",16105,78.5
"B4125","LA",16107,79
"B4126","Bd",16109,39
"B4126","Bp",16110,38
"B4126","GLpe",16111,64
"B4126","SD",16112,34.5
"B4127","Bd",16117,32
"B4127","Bp",16118,37.5
"B4127","GLpe",16119,68.5
"B4127","SD",16120,29.5
"B4128","Bd",16125,31
"B4128","Bp",16126,35
"B4128","GLpe",16127,65
"B4128","SD",16128,27.5
"B4129","Bd",16133,29.5
"B4129","Bp",16134,34
"B4129","GLpe",16135,65.5
"B4129","SD",16136,26.5
"B4130","Bd",16141,29.5
"B4130","Bp",16142,33.5
"B4130","GLpe",16143,62
"B4130","SD",16144,27.5
"B4131","Bd",16149,27.5
"B4131","Bp",16150,32
"B4131","GLpe",16151,57.5
"B4131","SD",16152,26
"B4132","Bd",16157,33.5
"B4132","Bp",16158,34.5
"B4132","GLpe",16159,75
"B4132","SD",16160,28
"B4133","Bd",16166,30
"B4133","Bp",16167,32
"B4133","GLpe",16168,68.5
"B4133","SD",16169,26.5
"B4134","Bd",16175,29
"B4134","Bp",16176,30.5
"B4134","GLpe",16177,64.5
"B4134","SD",16178,26
"B4135","Bd",16184,29.5
"B4135","Bp",16185,32
"B4135","GLpe",16186,65.5
"B4135","SD",16187,27.5
"B4136","Bd",16193,28
"B4136","Bp",16194,29.5
"B4136","GLpe",16195,65
"B4136","SD",16196,25.5
"B4137","GL",16202,45
"B4138","Bd",16210,26.5
"B4138","Bp",16211,31
"B4138","GL",16212,42.5
"B4139","Bd",16218,27
"B4139","Bp",16219,32.5
"B4139","GL",16220,40.5
"B4139","SD",16221,25.5
"B4140","Bd",16227,27.5
"B4140","Bp",16228,34.5
"B4140","GL",16229,47.5
"B4140","SD",16230,26
"B4141","Bd",16236,29
"B4141","Bp",16237,34
"B4141","GL",16238,48
"B4142","Bd",16244,25
"B4142","Bp",16245,31
"B4142","GL",16246,44.5
"B4142","SD",16247,24
"B4143","Bd",16253,27
"B4143","Bp",16254,32.5
"B4143","GL",16255,44.5
"B4143","SD",16256,26.5
"B4144","Bd",16262,25.5
"B4144","Bp",16263,30
"B4144","GL",16264,44.5
"B4144","SD",16265,24
"B4145","Bd",16271,26.5
"B4145","Bp",16272,33.5
"B4145","GL",16273,43.5
"B4145","SD",16274,27
"B4146","Bd",16280,24
"B4146","Bp",16281,30
"B4146","GL",16282,46.5
"B4146","SD",16283,22
"B4147","MBS",16289,31
"B4148","MBS",16294,27.5
"B4149","DLS",16299,68.5
"B4149","Ld",16300,53
"B4149","MBS",16301,22.5
"B4150","MBS",16304,21.5
"B4151","Bd",16309,87.5
"B4151","BFd",16310,81.5
"B4152","Bd",16315,89.5
"B4152","BFd",16316,85
"B4153","Bd",16321,75.5
"B4153","BFd",16322,65
"B4154","BFp",16327,85
"B4154","Bp",16328,92.5
"B4155","BFp",16333,84.5
"B4155","Bp",16334,92
"B4156","BG",16339,54
"B4156","GLP",16340,84.5
"B4156","SLC",16341,63.5
"B4156","LG",16342,67.5
"B4157","BG",16344,51.5
"B4157","SLC",16345,58.5
"B4158","BG",16349,52.5
"B4158","GLP",16350,75.5
"B4158","SLC",16351,54.5
"B4158","LG",16352,62
"B4159","BG",16354,49.5
"B4159","GLP",16355,71.5
"B4159","SLC",16356,52
"B4159","LG",16357,61
"B4160","BG",16359,51
"B4160","SLC",16360,57.5
"B4161","Bd",16364,74
"B4162","Bd",16369,76
"B4163","Bd",16374,69
"B4164","Bd",16379,69.5
"B4165","Bd",16384,68.5
"B4166","Bd",16389,65.5
"B4167","Bd",16394,64
"B4168","Bd",16399,73.5
"B4169","Bd",16404,86
"B4170","Bd",16409,85
"B4171","BPC",16414,48
"B4171","SDO",16415,55
"B4171","LO",16416,105.5
"B4171","DPA",16417,69.5
"B4172","BPC",16421,49
"B4172","DPA",16422,66.5
"B4173","Bd",16427,41.5
"B4174","Bd",16432,39
"B4175","Bd",16438,38
"B4176","LAR",16444,29.5
"B4177","LAR",16446,30.5
"B4178","Bp",16448,26
"B4179","Bp",16454,27
"B4180","Bp",16460,28
"B4181","Bd",16466,29.5
"B4182","Bd",16471,29
"B4183","Bd",16476,28.5
"B4184","Bd",16481,27
"B4185","BPC",16486,19
"B4185","SDO",16487,24
"B4185","DPA",16488,30
"B4186","BPC",16493,18
"B4186","DPA",16494,36
"B4187","BPC",16499,20
"B4187","DPA",16500,36.5
"B4188","BPC",16505,21.5
"B4188","SDO",16506,27
"B4188","DPA",16507,35.5
"B4189","GB",16512,82
"B4189","GL",16513,94
"B4190","Bd",16514,31.5
"B4190","Bp",16515,36.5
"B4190","GLpe",16516,52
"B4190","SD",16517,28
"B4191","Bd",16522,90.5
"B4191","BFd",16523,81.5
"B4192","BFp",16528,91
"B4192","Bp",16529,100
